match_id,round,venue,venue_country,home_team,away_team,predicted_home_goals,predicted_away_goals,extra_time,penalties,winner_name_meta
73,Round of 32,"SoFi Stadium, Los Angeles",United States,Czech Republic,Canada,2,1,False,False,Czech Republic
74,Round of 32,"Gillette Stadium, Boston",United States,Germany,Scotland,2,1,False,False,Germany
75,Round of 32,"Estadio BBVA, Monterrey",Mexico,Netherlands,Morocco,2,1,False,False,Netherlands
76,Round of 32,"NRG Stadium, Houston",United States,Brazil,Japan,2,1,False,False,Brazil
77,Round of 32,"MetLife Stadium, East Rutherford",United States,France,Egypt,2,1,False,False,France
78,Round of 32,"AT&T Stadium, Dallas",United States,Ecuador,Norway,2,1,False,False,Ecuador
79,Round of 32,"Estadio Azteca, Mexico City",Mexico,Mexico,Ivory Coast,2,1,False,False,Mexico
80,Round of 32,"Mercedes-Benz Stadium, Atlanta",United States,England,Senegal,2,1,False,False,England
81,Round of 32,"Levi's Stadium, Santa Clara",United States,United States,Bosnia and Herzegovina,2,1,False,False,United States
82,Round of 32,"Lumen Field, Seattle",United States,Belgium,South Korea,2,1,False,False,Belgium
83,Round of 32,"BMO Field, Toronto",Canada,Colombia,Croatia,2,1,False,False,Colombia
84,Round of 32,"SoFi Stadium, Los Angeles",United States,Spain,Austria,2,1,False,False,Spain
85,Round of 32,"BC Place, Vancouver",Canada,Switzerland,Algeria,2,1,False,False,Switzerland
86,Round of 32,"Hard Rock Stadium, Miami",United States,Argentina,Uruguay,2,1,False,False,Argentina
87,Round of 32,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Portugal,Ghana,2,1,False,False,Portugal
88,Round of 32,"AT&T Stadium, Dallas",United States,Turkey,Iran,2,1,False,False,Turkey
89,Round of 16,"NRG Stadium, Houston",United States,Czech Republic,Netherlands,1,2,False,False,Netherlands
90,Round of 16,"Lincoln Financial Field, Philadelphia",United States,Germany,France,1,2,False,False,France
91,Round of 16,"MetLife Stadium, East Rutherford",United States,Brazil,Ecuador,2,1,False,False,Brazil
92,Round of 16,"Estadio Azteca, Mexico City",Mexico,Mexico,England,1,2,False,False,England
93,Round of 16,"AT&T Stadium, Dallas",United States,Colombia,Spain,1,2,False,False,Spain
94,Round of 16,"Lumen Field, Seattle",United States,United States,Belgium,1,2,False,False,Belgium
95,Round of 16,"Mercedes-Benz Stadium, Atlanta",United States,Argentina,Turkey,2,1,False,False,Argentina
96,Round of 16,"BC Place, Vancouver",Canada,Switzerland,Portugal,1,2,False,False,Portugal
97,Quarter-final,"Gillette Stadium, Boston",United States,Netherlands,France,1,2,False,False,France
98,Quarter-final,"SoFi Stadium, Los Angeles",United States,Spain,Belgium,2,1,False,False,Spain
99,Quarter-final,"Hard Rock Stadium, Miami",United States,Brazil,England,2,1,False,False,Brazil
100,Quarter-final,"GEHA Field at Arrowhead Stadium, Kansas City",United States,Argentina,Portugal,2,1,False,False,Argentina
101,Semi-final,"AT&T Stadium, Dallas",United States,France,Spain,1,2,False,False,Spain
102,Semi-final,"Mercedes-Benz Stadium, Atlanta",United States,Brazil,Argentina,1,2,False,False,Argentina
103,Third-place playoff,"Hard Rock Stadium, Miami",United States,France,Brazil,1,2,False,False,Brazil
104,Final,"MetLife Stadium, East Rutherford",United States,Spain,Argentina,2,1,False,False,Spain
